LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,DEFAULT
200000,2,1,3,63,0,2,2,-1,1,5,0,57341,81616,93967,6916,29210,0,27247,27152,46764,3354,9948,0
100000,1,2,2,48,1,1,0,1,2,7,59632,0,47638,48179,3222,39932,21973,0,4408,26688,1351,7504,0
300000,2,1,1,51,-1,-1,2,0,0,1,142435,210182,129540,171383,31424,158030,28913,30356,93816,40163,13525,68850,0
20000,2,3,2,31,5,-1,-1,-1,1,-1,5862,6094,1497,1305,2513,16502,2591,3853,294,834,620,13186,1
20000,1,3,2,50,-1,0,-1,0,-1,0,5553,5030,16477,3450,1577,14694,700,1229,3442,971,385,778,0
10000,2,1,1,33,0,0,1,2,-1,0,3497,2148,5363,2794,5435,4808,1482,344,1038,803,1499,1465,0
50000,2,2,1,32,-1,1,0,1,-1,-1,28106,21115,0,15527,12171,18280,11194,0,0,5571,6737,10493,0
50000,2,3,3,50,0,0,-1,-1,5,5,36152,25515,21833,10807,8891,36211,15975,5908,14714,6564,4360,9300,0
30000,1,2,3,29,0,0,-1,0,0,0,21245,13755,20790,4610,15244,18698,3453,7627,13968,1119,6202,4145,0
200000,2,2,1,63,7,-1,3,-1,0,4,27686,78123,67457,84714,99931,109020,9092,50666,30088,24988,53245,35743,1
50000,1,2,1,68,-1,3,-1,2,1,0,0,22805,0,6190,35937,16325,0,13626,0,698,6573,7574,0
30000,2,2,1,69,-1,1,-1,-1,-1,1,1076,6665,11198,7410,11269,17128,337,1785,0,2338,6797,13025,0
80000,1,1,2,59,6,-1,-1,1,1,-1,20384,29416,22442,15519,30794,2809,17042,327,10415,6366,11065,1747,1
20000,1,1,2,24,-1,-1,-1,-1,0,1,7563,10288,12302,3199,12412,10209,272,468,755,917,1828,1693,1
150000,1,1,1,33,-1,2,0,0,1,-1,79260,41211,63361,63006,32137,53796,18484,4530,17843,19430,2700,28750,1
10000,2,2,1,37,0,-1,1,0,-1,-1,804,3566,5649,2213,5213,2129,397,1428,1998,775,2103,1269,0
500000,2,1,1,64,-1,-1,-1,-1,-1,3,87062,279487,5383,2981,236306,317508,41498,121005,417,0,0,95016,1
150000,1,1,2,21,-1,-1,-1,-1,2,0,54129,92845,26834,37269,50413,63271,27140,12218,12928,9494,29320,17729,0
20000,1,2,2,64,2,-1,-1,0,1,0,14498,944,7351,9209,11758,6364,6108,140,542,1700,7256,1151,1
10000,1,1,1,73,-1,-1,-1,-1,-1,-1,4149,4776,583,4125,968,3033,17,1057,126,1063,250,1608,0
200000,2,1,1,36,0,0,2,0,-1,-1,71159,80383,116705,150626,24518,65515,33909,9256,64034,85000,13833,6290,0
100000,2,2,2,30,1,-1,0,1,2,1,25609,53460,89810,51813,85800,0,15144,9236,49952,22492,41867,0,0
150000,1,3,1,22,7,3,2,0,0,0,45574,66337,93147,82226,95694,80775,15281,28961,39391,19356,42710,27518,1
150000,2,1,2,31,0,1,0,1,-1,0,73764,123735,39781,84352,0,32934,25899,27622,19228,51653,0,3193,0
10000,1,1,1,23,1,0,3,2,2,1,3951,2092,3720,2560,3276,3572,433,723,2375,886,1662,1615,0
50000,2,1,2,28,0,0,-1,0,0,-1,13099,11875,32788,7520,32277,22312,5253,5772,5994,0,9768,7146,0
20000,1,3,2,36,-1,0,1,2,1,-1,5401,16975,4875,10930,9385,2404,1663,5814,2742,5830,5517,1455,0
200000,2,2,2,67,0,-1,1,-1,0,0,127982,58172,95303,14671,48142,51295,0,31008,21748,3216,11293,17080,0
100000,2,1,2,29,1,7,0,2,2,0,43001,45130,44206,32551,57188,23643,26554,5049,10748,14281,21861,13364,1
50000,2,2,1,66,-1,1,0,0,8,2,13912,24105,32738,15574,31506,10638,5525,6019,10227,0,16232,4400,0
10000,2,1,2,66,-1,-1,-1,0,1,-1,3916,4244,5093,5468,5685,5760,1716,1639,2166,1490,2176,919,0
30000,2,1,2,47,2,2,0,-1,1,0,5377,10128,841,13447,16097,12765,1222,2517,677,2186,3286,560,1
50000,1,1,1,71,-1,0,-1,4,-1,-1,23726,34240,39574,11018,26890,23078,6343,0,13737,5647,6274,10825,0
150000,2,1,3,42,-1,2,-1,0,0,6,22770,60011,7495,52669,123279,73557,4714,9659,3168,25617,31182,20401,0
100000,2,2,2,47,-1,3,-1,0,-1,-1,61004,24988,67203,18436,45806,45257,30939,5682,15388,7738,12793,30127,1
200000,2,2,3,58,-1,1,1,3,2,0,67251,103856,27886,114513,95972,111957,21707,17112,0,28602,34892,38365,0
80000,1,2,1,70,2,1,0,-1,2,-1,42291,22620,50472,32485,37908,31298,22934,12947,15438,7838,14789,4206,1
20000,2,2,1,26,0,2,-1,-1,4,2,11107,0,0,10065,5616,3309,6067,0,0,5754,1430,1005,0
150000,2,2,1,64,-1,0,-1,2,-1,-1,74897,73034,17458,42248,46548,72018,36433,7133,2524,25841,13025,19991,0
150000,1,2,2,41,-1,0,1,1,-1,-1,75051,24498,0,105382,52424,53603,37806,13871,0,27756,34566,13728,0
80000,2,2,3,54,0,1,0,8,3,-1,17600,22278,41818,28493,22686,14975,3606,6294,24297,8127,12525,10872,0
150000,2,1,2,27,1,0,0,5,1,0,70688,113594,18292,41608,11665,15696,28759,22716,7394,22405,8752,3493,0
80000,2,2,2,72,1,0,2,3,-1,0,26777,15160,59885,23828,25607,37575,7041,8123,27865,9657,14218,15119,1
80000,2,3,1,30,2,0,-1,-1,0,-1,31470,52268,28092,37600,8466,36342,17756,35217,10277,12999,6714,20806,0
50000,1,2,1,67,6,3,1,3,-1,2,27922,13626,18101,5565,16225,0,0,4577,4741,3543,6613,0,1
10000,2,2,1,36,2,0,4,2,-1,1,3327,6352,6257,1567,3406,3991,1065,3540,2651,459,804,1391,0
20000,2,1,2,54,-1,2,1,6,-1,0,3793,8225,9108,3726,11462,6700,1650,3272,3937,381,4040,1128,1
10000,1,3,2,48,-1,2,2,-1,0,0,2514,3800,4967,5525,7458,957,1782,2106,1504,1667,5001,47,1
100000,1,3,1,54,-1,-1,-1,-1,0,0,35067,47758,38987,67827,32489,37903,19659,18435,21221,18473,18598,18918,0
30000,1,2,1,27,2,3,0,-1,0,0,17460,12922,16484,15976,16355,18663,7755,5864,5656,5752,4648,11747,1
80000,1,1,2,29,2,0,-1,2,4,6,7803,39944,32132,23116,44585,27578,3970,6407,14401,8233,26354,8727,0
200000,2,3,1,73,-1,0,0,1,1,2,71270,145820,78107,61270,167807,32791,39260,73668,36056,18326,83307,19624,0
30000,1,1,1,46,2,0,1,0,3,0,6634,15192,9141,16821,11000,9530,2008,0,5246,5638,2984,155,1
50000,1,2,3,38,2,2,-1,2,0,4,24030,2030,31125,16151,22686,20339,9254,741,14227,11010,12549,2282,0
150000,2,2,2,30,2,-1,2,0,2,5,65336,68711,93467,57325,122303,94008,16987,0,38730,8451,25593,42494,1
30000,2,3,1,70,1,0,0,6,-1,2,9380,16369,7677,18081,18025,5931,0,6397,3616,3391,3553,710,0
10000,1,2,1,60,0,-1,0,1,0,1,2599,3867,6805,5409,2626,3637,1723,1154,5248,2452,1275,2444,1
30000,1,2,1,49,-1,2,0,-1,2,1,19710,5212,6264,15334,28345,21405,5970,2020,1557,4588,18044,14881,0
20000,1,3,3,34,-1,-1,0,-1,5,-1,5395,6937,900,5790,9228,11256,1677,1987,305,2760,3218,2865,0
300000,2,2,2,34,-1,-1,2,3,-1,0,247546,267103,60816,126891,94523,158649,5507,131548,31900,27130,17102,69381,1
150000,1,2,1,58,0,-1,-1,0,1,-1,0,54172,82770,54363,54933,24741,0,14566,30019,26904,10610,14697,0
100000,2,1,1,28,-1,3,0,-1,2,1,0,34061,17951,7081,61279,61606,0,13754,1967,258,17175,28948,1
200000,1,2,1,30,-1,0,0,0,0,2,102193,61860,64010,30903,0,136263,34067,11643,0,6544,0,38299,0
150000,1,1,1,49,0,-1,0,-1,-1,0,40809,71014,50807,37823,0,52016,0,28495,5019,19602,0,3267,0
20000,2,3,1,39,9,2,0,0,0,-1,0,13313,1869,7520,9632,5063,0,5054,822,4271,1546,2142,1
200000,1,3,1,59,6,1,3,0,-1,0,88791,55303,29769,101214,146147,34411,30831,26825,9825,32750,89302,12385,1
80000,1,1,2,56,2,0,7,0,3,0,22912,46664,20102,21843,34958,39077,10139,25112,8993,7878,0,30298,0
150000,1,2,1,72,-1,9,0,-1,0,0,75428,29338,45136,71291,58716,48726,8995,20637,22574,23659,12219,7360,1
200000,1,1,2,74,2,0,0,0,2,-1,107996,47478,102320,92805,61084,117360,52688,13124,1208,34481,21012,88537,0
30000,2,1,2,69,1,0,-1,-1,-1,5,20637,23824,24609,11778,17883,14764,2197,9355,9095,0,2868,2837,0
20000,1,2,1,38,0,0,1,-1,0,3,5264,6314,10604,10398,6544,9402,2641,1949,1147,6846,1706,68,0
30000,2,1,2,51,-1,0,3,5,8,5,14754,10758,17364,15064,0,4520,7169,836,7625,1774,0,288,0
50000,2,1,1,64,0,5,5,3,4,2,26120,0,23181,21004,40080,22015,11795,0,4214,0,16726,8226,0
200000,2,2,2,34,0,-1,0,4,-1,-1,102917,54488,72145,130320,51406,127889,71682,26440,49937,21061,19114,46266,0
200000,1,1,1,65,1,2,4,1,0,-1,98590,60523,21223,13586,16921,60907,23804,15366,6258,3852,9860,34963,0
10000,2,2,2,60,0,0,-1,2,0,0,5147,2195,2943,4771,5032,6335,1491,925,0,1592,596,2531,0
80000,1,1,2,44,1,-1,2,1,1,2,14301,21510,47298,21802,32294,33983,6157,3518,12949,3384,13181,13267,1
50000,1,3,2,67,1,0,0,-1,3,-1,26088,22673,13201,12509,7836,44082,6943,8463,2262,3566,2429,6452,0
30000,1,2,1,49,0,-1,6,-1,0,1,19161,14836,15150,14770,11317,8245,6230,3852,8149,6533,3027,0,0
20000,2,2,1,54,2,0,-1,0,2,-1,327,6207,11496,8696,8356,10519,110,3158,2877,2560,2285,2233,1
50000,1,1,2,25,2,-1,-1,-1,1,2,35797,24729,41201,30345,17551,10330,13013,9631,16481,5736,13060,2355,0
300000,2,1,2,51,2,2,1,-1,-1,-1,197697,93336,137316,75436,135961,56021,97807,23356,64579,19886,54290,9449,1
50000,1,4,1,27,0,1,0,6,-1,0,0,18072,23517,14451,37796,23680,0,8986,6573,5476,15634,10281,0
80000,2,2,2,70,5,0,0,0,3,1,28985,35742,32234,37964,36409,57292,13703,11420,10005,8078,12213,33240,0
100000,2,2,2,71,6,-1,-1,-1,4,6,22296,13052,20919,21239,26394,84180,2061,6359,3316,3772,19945,29133,1
50000,2,3,2,67,1,0,2,-1,6,4,34224,5161,16915,34110,32476,14124,23378,3449,5756,8812,23209,2022,0
500000,2,1,1,42,1,0,-1,-1,3,-1,142063,169999,274535,291971,117188,217970,16250,103395,48256,112313,54792,105371,0
500000,2,2,1,37,2,2,-1,-1,7,4,169485,136628,242267,354707,406457,206549,65013,23358,18395,192711,157255,95995,1
30000,2,1,1,21,-1,0,-1,2,1,1,4080,20010,13434,16472,22924,11142,1775,6397,9814,4556,13386,4320,0
80000,1,2,3,52,2,2,-1,2,0,3,23126,74884,17737,31612,17978,33049,10678,6749,1221,5054,10282,13123,1
30000,2,1,1,23,0,1,0,0,-1,0,13857,16952,15676,6952,5867,18759,4003,0,4472,3781,3311,7650,0
30000,2,1,1,48,4,0,-1,1,-1,1,19910,11035,18133,21245,8820,11279,6773,4518,4791,3735,2287,3846,0
10000,1,2,1,63,-1,3,-1,-1,0,-1,3430,2854,5465,3294,6913,1346,1884,0,2167,157,1480,814,1
100000,2,2,1,62,-1,1,0,0,0,2,52220,55656,0,71019,35780,45420,25701,4181,0,46224,20696,0,0
80000,1,3,1,35,0,5,0,1,-1,2,46335,46484,27773,47311,23367,617,22765,8549,6764,23514,10158,251,0
10000,2,2,1,59,6,0,-1,0,0,1,5960,1708,2914,3748,4023,4312,1991,0,457,2637,1622,1534,0
30000,1,2,1,60,0,0,-1,2,5,2,20919,26339,15718,1145,7451,13568,12950,868,4702,555,1759,4522,0
200000,1,2,2,42,4,1,1,2,0,1,64049,100948,72387,52112,128052,6365,25258,52480,24769,15793,39187,0,1
30000,1,2,3,39,5,0,0,1,8,2,9683,14616,11715,8896,12721,2597,4744,1361,2077,762,2218,1280,0
20000,2,2,3,70,-1,0,-1,1,2,1,7048,4662,174,11265,9568,6529,1680,3222,21,7572,1984,1159,0
80000,1,1,2,48,2,0,-1,2,-1,0,23477,63182,32211,25549,44240,30790,8673,12761,3606,8512,21070,13838,1
500000,2,2,1,38,-1,1,0,6,0,6,276926,84276,179599,199102,44602,213648,76156,40080,33924,27380,15737,103838,0
30000,2,2,2,74,0,1,-1,-1,-1,-1,8573,13865,0,16551,12095,7287,2757,6563,0,5232,1652,2543,0
100000,2,3,2,65,-1,0,-1,-1,1,0,62709,30008,50331,51810,28267,30522,24712,6428,6218,13533,18018,3499,0
150000,1,2,1,31,1,0,1,5,-1,4,100947,67471,131676,86429,70172,93392,69070,49342,21361,55935,34915,36402,0
30000,1,2,2,33,3,1,0,-1,-1,0,33086,13323,9931,13559,12256,8674,15564,7607,2900,6821,0,3046,0
150000,2,2,2,59,-1,4,-1,-1,2,0,85960,93969,55178,68838,65601,69402,23937,22540,11859,36751,24165,43313,0
50000,1,2,1,48,1,2,-1,2,0,-1,22974,28679,31813,11110,20340,13938,4292,12229,16054,4731,8500,1250,1
100000,2,1,1,22,-1,-1,1,3,2,1,30663,18780,19294,30733,9830,55427,6063,5767,6937,18854,7526,23691,0
100000,2,2,2,65,7,1,-1,-1,0,0,43531,36635,51087,10345,40269,72095,25678,7381,697,3568,8134,42116,0
80000,1,3,2,55,-1,-1,-1,-1,3,2,10552,26388,18200,23098,27522,42205,3663,10142,7708,9262,23317,22825,1
20000,2,3,2,50,0,3,2,0,3,0,22161,8378,11850,15282,4050,6212,9814,3427,3277,9450,2761,4873,0
200000,2,2,2,48,2,0,8,-1,-1,-1,71545,65410,23662,101819,89342,19944,7350,14054,3354,61180,69596,2051,1
50000,2,2,1,59,2,1,-1,2,0,-1,28261,16752,18121,13767,29422,10621,5200,4147,9682,9103,4962,3303,0
20000,2,1,2,53,0,0,0,0,0,0,5496,3902,8225,2049,5438,13345,2060,44,1768,701,2463,4790,0
10000,2,1,1,51,3,0,2,6,2,1,3820,4014,5387,4893,5434,2613,2113,1355,1578,3316,591,934,0
100000,1,4,1,51,7,2,0,0,1,1,47191,45842,23539,42795,75158,12493,9848,26447,0,7951,46901,3694,0
100000,2,2,1,30,-1,3,2,1,3,0,52590,59388,43920,35340,51323,30469,22682,27512,12424,23466,10714,3893,0
10000,2,2,3,64,-1,-1,1,0,1,3,6893,6540,5132,6206,2995,4624,2718,3216,913,392,855,4282,1
80000,2,2,2,38,2,0,1,-1,2,1,24213,32748,61976,25720,31670,20551,5039,9006,14608,564,6843,8705,0
30000,1,2,1,51,-1,4,-1,1,5,2,8478,8273,9197,11374,4451,8226,1589,3244,5269,5791,1223,3066,1
100000,2,2,2,21,3,-1,0,-1,2,-1,47845,26428,16824,51467,18448,816,34904,17896,8142,20327,7619,86,1
20000,1,2,2,46,0,-1,-1,-1,-1,0,3311,16948,2872,8073,5150,7768,1612,7755,992,1973,1697,1575,0
100000,1,2,2,69,-1,0,2,2,2,4,74184,63814,74499,50028,54457,58814,36479,3498,28458,19443,3694,18248,1
50000,2,3,1,35,0,2,2,-1,4,4,39166,12782,16216,10323,20598,36805,18057,5127,5693,1125,9879,5845,0
300000,2,2,1,27,4,0,-1,3,1,-1,237506,47936,68243,86939,0,71746,28850,0,7803,61064,0,30676,0
20000,2,3,1,67,2,-1,-1,5,0,-1,14156,5444,9221,2298,7426,12682,4403,3075,751,806,3031,4878,0
50000,1,3,2,40,-1,0,0,1,9,3,8586,23136,17685,0,7706,29884,2896,3732,3445,0,3816,11390,0
20000,2,2,1,69,8,-1,0,-1,-1,0,1921,19429,10065,7004,5835,6950,709,407,3147,2991,1020,1942,1
300000,1,1,1,41,-1,-1,3,1,2,7,76383,204603,72257,45371,177424,123908,38959,63000,19602,22717,38747,13765,0
200000,1,1,1,60,0,0,0,0,2,0,23094,81491,135117,36866,144992,106202,8243,38507,43750,17691,30958,42793,1
30000,2,1,1,32,-1,0,-1,0,-1,-1,14355,18568,20240,12358,17101,20709,8229,9323,7136,3012,7759,7363,0
100000,2,3,2,42,-1,1,-1,0,4,0,1890,57124,49435,31131,50659,45767,811,10960,23052,5301,9950,16651,0
200000,1,3,2,29,-1,0,2,0,1,-1,131543,94818,102036,15299,82294,179961,29961,29897,0,2606,21154,0,0
80000,1,1,2,33,1,0,4,-1,0,-1,35291,16321,45565,49812,23990,18482,12689,4438,16769,15790,0,6044,0
80000,2,1,1,55,0,-1,0,0,4,2,27399,38255,51807,20230,38982,28588,10818,8932,28950,6697,20760,0,0
30000,2,3,1,31,1,2,0,1,5,0,11610,21253,12322,8779,13484,3273,0,7286,6062,5698,2304,696,0
20000,1,1,2,34,0,1,0,0,0,6,8725,9014,10608,8162,9944,6103,3156,5685,3876,5539,3236,1192,0
200000,1,3,1,74,3,0,0,0,0,3,27962,83173,26102,109159,156975,101095,12205,37354,13461,73014,43164,32384,1
200000,2,2,1,51,0,-1,2,1,-1,1,45253,70183,60989,8958,141500,90943,15385,22154,31683,4595,25604,7892,1
100000,2,3,2,23,6,1,5,0,2,-1,71200,49847,0,33323,43419,37708,25382,34384,0,0,8098,15997,0
50000,2,2,2,73,2,1,0,6,6,2,31618,42273,10583,17962,24231,20304,8078,17770,2464,10071,14027,9295,0
50000,2,1,2,63,0,0,0,-1,0,-1,13381,32778,4739,22593,30778,20663,10674,7814,0,5966,11368,8584,0
150000,2,2,2,56,6,0,-1,0,-1,-1,115367,58834,109405,53821,81246,56278,30955,19167,37752,8717,39965,9336,1
200000,2,3,2,68,-1,4,4,0,6,7,64804,67248,38059,114816,81906,19659,29352,7687,11558,80340,35092,7537,1
200000,2,1,1,43,0,1,-1,0,-1,7,45665,79560,102080,19362,93033,20915,39651,25055,24407,2329,38289,14897,0
150000,2,2,2,42,1,-1,6,2,-1,2,11646,113706,126475,68099,28527,39117,3898,44281,20096,23647,2590,19713,1
100000,2,2,2,35,-1,-1,1,0,0,1,24565,44464,49769,64372,64090,44359,1844,17155,0,14967,15572,15309,0
20000,2,3,2,66,0,3,-1,0,-1,0,6808,7404,6599,12066,0,8837,2739,2313,1242,3421,0,3758,0
20000,2,1,2,51,-1,-1,0,3,-1,-1,10437,5342,12252,3760,11407,8570,2062,2127,5590,91,312,2973,0
200000,2,2,2,65,1,-1,0,0,1,7,30713,98407,23095,95576,73746,106344,8567,47018,5498,45626,10061,4799,0
100000,2,1,2,34,-1,-1,0,2,4,-1,16145,50331,35463,69611,14904,64812,8440,17524,11827,40680,4993,8636,0
10000,1,2,2,50,2,0,0,-1,2,0,2020,2476,2264,4641,2579,3979,103,784,541,1817,335,1174,1
20000,2,2,1,68,1,0,1,0,0,-1,8350,4827,10543,5326,6250,11785,306,1534,2526,986,2573,5005,0
100000,2,1,2,65,-1,1,5,1,0,2,52396,23687,44789,0,34537,40198,13087,9367,24860,0,9827,3840,0
10000,1,3,1,44,1,5,-1,-1,0,-1,3898,6274,4877,6728,2401,5629,0,788,1315,3701,833,2113,0
20000,2,2,1,73,-1,4,-1,0,-1,0,312,6030,5522,8465,10752,7148,91,1249,1866,6627,3136,1522,0
80000,2,2,2,39,-1,0,-1,3,-1,0,46619,30809,41319,10561,17711,28836,17459,0,3639,6317,5935,5047,0
100000,1,2,2,27,-1,0,2,0,-1,0,59699,11331,17793,10901,46050,35069,28673,7543,12300,7021,29748,13754,1
100000,2,2,2,65,0,5,0,1,-1,4,29380,69991,81986,42917,69350,63843,10030,42140,32916,10996,12547,24266,0
30000,2,1,1,67,-1,-1,-1,1,-1,0,19852,8397,9937,22389,19552,13459,2925,2863,2902,17141,3145,4942,0
150000,2,2,2,38,2,0,3,0,-1,5,42705,53726,41290,13583,109197,22469,3794,28138,10322,548,25895,17194,0
30000,1,1,1,70,-1,1,-1,-1,7,1,5137,12414,4242,7168,7277,14150,581,3617,1288,3787,2270,4995,0
50000,1,2,2,70,-1,-1,3,6,1,0,23410,29576,42277,21342,27262,26695,12227,9885,10494,10111,699,14034,1
150000,1,1,1,31,-1,0,1,-1,-1,3,50975,134377,65023,48909,40956,46660,18422,26199,33973,44070,15725,28133,0
100000,1,2,2,45,0,0,-1,2,2,0,51092,31287,29451,29465,43576,43236,33998,13320,12485,12403,18370,0,0
200000,1,3,1,59,0,3,1,3,-1,0,76389,12991,118312,71788,26008,84850,60955,4060,37911,34459,16867,58481,0
100000,2,2,2,50,-1,-1,0,1,1,4,45084,41887,36006,52834,20998,48945,9251,19672,14660,0,10327,12359,0
